Layer,Representation Change,Entropy,LDR
layer_0,0.32821120429284795,0.18163464733005802,0.0007138252258300781
layer_1,0.6352815923002575,0.1792429501248389,0.0007538795471191406
layer_2,0.793119764819587,0.17919544337951035,0.0008873939514160156
layer_3,0.8101517195554122,0.17915045354784156,0.0010662078857421875
layer_4,0.7743637242268039,0.17906928308231312,0.001132965087890625
layer_5,0.7957650410760315,0.17899629258617925,0.0009984970092773438
layer_6,0.7786827480670099,0.17888617761356315,0.0009336471557617188
layer_7,0.7811065359213912,0.17878487183875633,0.0009355545043945312
layer_8,0.8397279719716501,0.17879808563547026,0.0009899139404296875
layer_9,0.8391515987435574,0.17870118445956834,0.0009627342224121094
layer_10,0.8684962951030928,0.17883174935567,0.0009675025939941406
layer_11,0.8326428600193291,0.17860050791317666,0.001010894775390625
layer_12,0.8381095964884026,0.17876379268685555,0.001140594482421875
layer_13,0.7832383617912373,0.17863637393282872,0.0014219284057617188
layer_14,0.7703416961984533,0.17832490586742902,0.0013980865478515625
layer_15,0.8070257127899491,0.17835951343025128,0.0015468597412109375
layer_16,0.8341882450064441,0.1782000040270619,0.001613616943359375
layer_17,0.8700039263853087,0.17799550479220363,0.0015506744384765625
layer_18,0.8754480106314428,0.17782561312016765,0.00150299072265625
layer_19,0.8663846045425256,0.17735904025048324,0.0015420913696289062
layer_20,0.9001011799291232,0.1769214118878866,0.0017480850219726562
layer_21,0.9047952239046383,0.17625977820956829,0.0019207000732421875
layer_22,0.909600012081186,0.17550722102528996,0.0019006729125976562
layer_23,0.9115103495489691,0.1747452254147873,0.002033233642578125
layer_24,0.9032045344716492,0.17396466756604373,0.0019025802612304688
layer_25,0.8868722817332471,0.17305165713595363,0.0020427703857421875
layer_26,0.8765227327641756,0.17160380255315721,0.001979827880859375
layer_27,0.6785171351481956,0.14630252798807986,0.0021038055419921875
